_ID, TimeSt,Country,Province,City,Latitude,Longitude,Associated POI,Distance POI
4968018,32:12.5,CA,QC,Sainte-Foy,46.7823,-71.2882,POI3,2.6034157457496074
4968083,32:13.6,CA,ON,Ottawa,45.34485,-75.6641,POI3,2.105510322134998
4968091,32:14.7,CA,AB,Edmonton,53.546,-113.5843,POI1,0.09856614147363706
4968166,32:15.5,CA,ON,Whitby,43.96195,-78.96465,POI3,5.619409334700317
4968260,32:15.9,CA,AB,Calgary,51.0905,-114.182,POI1,2.5524667985392098
4968433,32:17.1,CA,QC,Québec,46.8648,-71.4397,POI3,2.5150272539710183
4968442,32:14.5,CA,ON,Thunder Bay,48.4084,-89.255,POI3,15.952348251433609
4968538,32:16.7,CA,AB,Calgary,50.9819,-114.1004,POI1,2.636907191928637
4968697,32:17.7,CA,AB,Calgary,51.1387,-114.2015,POI1,2.5116166751407327
4968766,32:13.2,CA,ON,Mississauga,43.61147,-79.60398,POI3,6.3328998147149855
4968982,32:16.9,CA,ON,York,43.6915,-79.4307,POI3,6.143598028974311
4969058,32:20.2,CA,AB,Calgary,51.00853,-114.07692,POI1,2.605590610661044
4969130,32:20.2,CA,BC,Vancouver,49.26862,-123.17847,POI1,10.594646737994863
4969244,32:20.3,CA,AB,Calgary,50.9336,-114.115,POI1,2.687281531258866
4969450,32:21.3,CA,AB,Edmonton,53.44733,-113.43202,POI1,0.11248976115628993
4969546,32:21.4,CA,AB,Calgary,51.0876,-114.0214,POI1,2.516245170297398
4969601,32:19.6,CA,ON,Ottawa,45.444,-75.693,POI3,2.12839215517653
4969685,32:20.2,CA,ON,Brampton,43.6656,-79.747,POI3,6.453627504079935
4969752,32:20.3,CA,BC,Vancouver,49.26862,-123.17847,POI1,10.594646737994863
4969761,32:20.5,CA,ON,Toronto,43.6651,-79.4369,POI3,6.157425187139258
4969764,32:21.2,CA,ON,Etobicoke,43.6879,-79.557,POI3,6.265329638416246
4969806,32:20.1,CA,AB,Calgary,50.9505,-113.947,POI1,2.6363333434232104
4969863,32:20.2,CA,QC,Anjou,45.6141,-73.5468,POI3,0.09444812341703981
4969943,32:24.8,CA,ON,Toronto,43.72883,-79.40335,POI3,6.106431288787014
4970030,32:24.9,CA,ON,Mississauga,43.60473,-79.66046,POI3,6.388791116815215
4970120,32:25.0,CA,NB,Moncton,46.1033,-64.815,POI4,1.8097765216570239
4970204,32:25.1,CA,AB,Edmonton,53.4739,-113.483,POI1,0.07231869775514103
4970207,32:20.3,CA,ON,Toronto,43.7537,-79.2659,POI3,5.967759995544143
4970224,32:20.4,CA,AB,Edmonton,53.41976,-113.53055,POI1,0.13411638044997012
4970329,32:24.7,CA,ON,Maple,43.8526,-79.5117,POI3,6.17549357540084
4970374,32:25.0,CA,AB,Calgary,51.0381,-114.118,POI1,2.586534432642447
4970427,32:25.1,CA,AB,Calgary,51.0378,-114.08,POI1,2.577800823462706
4970474,32:24.5,CA,NS,Boutiliers Point,44.6728,-63.9653,POI4,0.9172771614626598
4970664,32:24.9,CA,AB,Edmonton,53.4579,-113.412,POI1,0.11501202565382994
4970768,32:25.4,CA,QC,Brossard,45.4693,-73.4848,POI3,0.09662123170917813
4970845,32:26.6,CA,SK,Saskatoon,52.1378,-106.609,POI1,7.019470643392205
